timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598276894574,1646,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-2,bin,true,,981,373,7,7,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1646,0,1265
1598276894266,1954,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-1,bin,true,,981,373,7,7,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1954,0,1579
1598276894870,1505,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-3,bin,true,,981,373,8,8,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1504,0,1127
1598276895167,1453,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-4,bin,true,,981,373,8,8,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1453,0,1099
1598276896226,760,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-1,text,true,,46444,434,10,10,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,360,0,0
1598276895470,1545,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-5,bin,true,,981,373,10,10,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1545,0,1134
1598276896226,791,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-2,text,true,,46444,434,10,10,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,385,0,0
1598276896376,740,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-3,text,true,,46444,434,10,10,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,375,0,0
1598276895758,1506,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-6,bin,true,,981,373,11,11,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1505,0,1132
1598276896986,430,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-1,text,true,,44600,431,11,11,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,412,0,0
1598276897017,457,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-2,text,true,,44600,431,11,11,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,431,0,0
1598276896621,875,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-4,text,true,,46444,434,11,11,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,412,0,0
1598276897117,431,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-3,text,true,,44600,431,11,11,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,417,0,0
1598276896068,1507,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-7,bin,true,,981,373,12,12,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1507,0,1143
1598276897016,867,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-5,text,true,,46444,434,13,13,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,464,0,0
1598276896363,1558,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-8,bin,true,,981,373,13,13,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1558,0,1136
1598276897497,425,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-4,text,true,,44600,431,13,13,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,406,0,0
1598276897265,767,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-6,text,true,,46444,434,13,13,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,349,0,0
1598276897416,746,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-1,bin,true,,117676,361,14,14,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,368,0,0
1598276897476,753,SSD/images/landingPage.jpg-73,200,OK,SSD Selector Tool 1-2,bin,true,,117676,361,14,14,https://ssdhpestage.azurewebsites.net/images/landingPage.jpg,358,0,0
1598276897884,383,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-5,text,true,,44600,431,14,14,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,362,0,0
1598276896659,1671,SSD/images/hpe-flag.png-75,200,OK,SSD Selector Tool 1-9,bin,true,,981,373,14,14,https://ssdhpestage.azurewebsites.net/images/hpe-flag.png,1671,0,1266
1598276897576,801,SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,OK,SSD Selector Tool 1-7,text,true,,46444,434,14,14,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Semibold.woff,439,0,0
1598276898032,383,SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,OK,SSD Selector Tool 1-6,text,true,,44600,431,14,14,https://ssdhpestage.azurewebsites.net/css/hpe_fonts/MetricWeb-Light.woff,352,0,0
