Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/js/jquery3.5.min.js-191,25,2007,1863,2319,2580,3360,1728,3360,0.000%,3.48821,115.54,1.48
/css/lib-3b502e9f21.css-192,25,417,388,438,735,753,358,753,0.000%,4.94462,239.26,2.18
/css/app-1a3af07598.css-193,25,371,366,386,444,457,338,457,0.000%,4.94071,20.64,2.18
/js/jquery.min.js-194,25,470,381,388,427,2712,351,2712,0.000%,4.97216,164.67,2.10
/js/config.js-197,25,380,366,410,460,510,341,510,0.000%,4.93291,3.15,2.06
/images/hpe-logo-white.png-198,25,397,379,440,554,631,346,631,0.000%,4.88759,8.94,2.32
/css/content.css-190,25,1196,1134,1775,1843,1928,726,1928,0.000%,4.02188,703.62,1.75
/images/hpe-flag.png-202,25,425,373,437,754,1137,345,1137,0.000%,4.40529,4.24,2.13
/css/hpe_fonts/MetricWeb-Light.woff-203,25,440,392,472,778,792,365,792,0.000%,4.15282,180.89,2.06
/css/hpe_fonts/MetricWeb-Semibold.woff-204,25,441,402,460,724,796,359,796,0.000%,3.93329,178.41,1.96
/images/landingPage.jpg-201,25,558,438,759,1199,1815,385,1815,0.000%,3.21254,369.19,1.52
/workload-205,25,383,376,400,416,470,352,470,0.000%,3.25098,37.99,1.93
/css/lib-3b502e9f21.css-207,25,516,410,461,786,2380,370,2380,0.000%,2.57759,122.72,1.16
/css/app-1a3af07598.css-208,25,392,382,441,451,458,351,458,0.000%,2.58880,10.67,1.16
/js/workload.js-209,25,374,368,396,402,411,348,411,0.000%,2.58906,7.82,1.11
/css/content.css-206,25,686,446,1057,2231,2233,403,2233,0.000%,2.16769,371.84,0.96
/images/hpe-logo-white.png-213,25,515,368,433,2106,2157,343,2157,0.000%,2.17884,3.98,1.05
/js/jquery.min.js-212,25,469,380,413,818,2131,356,2131,0.000%,2.17770,71.23,0.94
/js/config.js-214,25,372,367,395,415,430,342,430,0.000%,2.18093,1.39,0.93
/images/hpe-flag.png-219,25,449,375,425,448,2133,338,2133,0.000%,2.17505,2.09,1.05
/api/workload_api.php-218,25,488,408,465,489,2129,388,2129,0.000%,2.17922,2.21,1.29
/css/fonts/hpe-icons.woff-215,25,408,383,433,464,777,358,777,0.000%,2.18895,73.22,1.06
/css/hpe_fonts/MetricWeb-Light.woff-216,25,480,387,447,764,2000,366,2000,0.000%,2.13456,92.98,1.06
/css/hpe_fonts/MetricWeb-Medium.woff-217,25,541,390,672,1950,1983,363,1983,0.000%,2.09205,84.65,1.04
/ssd-type-220,25,507,379,399,1863,2137,355,2137,0.000%,2.09328,26.22,1.26
/js/ssd-type.js-222,25,511,366,454,1894,2263,340,2263,0.000%,2.09644,3.35,0.90
/css/hpe_fonts/HPESimpleWeb-Regular.woff-221,25,580,383,442,1972,2173,360,2173,0.000%,2.09065,35.05,1.05
/server-type-223,25,468,387,446,472,2246,356,2246,0.000%,2.08733,25.91,1.26
/css/lib-3b502e9f21.css-225,25,642,404,732,2205,2243,365,2243,0.000%,2.02823,96.56,0.92
/js/server-type.js-226,25,376,368,412,415,427,341,427,0.000%,2.02758,5.95,0.88
/css/content.css-224,25,763,449,1437,2022,2306,398,2306,0.000%,1.86414,319.77,0.83
