Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,100,1687,1415,2585,242.57,0.000%,1.62856,1.56,0.59,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,100,824,697,1767,166.15,0.000%,1.65714,75.16,0.70,46444.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,100,459,360,1530,175.95,0.000%,1.65278,71.99,0.70,44600.0
SSD/images/landingPage.jpg-73,100,1022,715,3007,502.26,0.000%,1.63661,188.08,0.58,117676.0
SSD/workload.php-82,100,423,348,836,99.38,0.000%,1.64512,18.55,0.67,11546.0
SSD/js/workload.js-83,100,423,343,1205,121.83,0.000%,1.64371,4.93,0.53,3072.9
SSD/css/fonts/hpe-icons.woff-85,100,505,360,1460,218.17,0.000%,1.64320,54.96,0.63,34247.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,100,545,365,1461,219.65,0.000%,1.64225,66.44,0.65,41428.0
SSD/api/workload_api.php-86,100,487,387,1548,180.45,0.000%,1.63977,1.66,0.80,1036.0
SSD/ssd-type.php-87,100,455,358,3413,318.73,0.000%,1.64244,19.89,0.68,12401.0
SSD/js/ssd-type.js-88,100,427,342,1324,143.67,0.000%,1.64069,2.60,0.53,1621.3
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,100,444,354,1077,127.63,0.000%,1.63924,27.48,0.66,17164.0
SSD/server-type.php-90,100,416,354,1284,104.51,0.000%,1.63685,19.65,0.69,12295.0
SSD/js/server-type.js-91,100,407,344,660,70.54,0.000%,1.63661,4.74,0.53,2963.7
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,100,570,358,1492,258.98,0.000%,1.63543,72.15,0.65,45176.0
SSD/api/server_model_api.php?sid=null-96,100,480,389,1717,158.58,0.000%,1.63377,0.83,0.82,519.0
SSD/api/server_type_api.php-97,100,494,382,1121,138.05,0.000%,1.63433,1.03,0.81,646.0
SSD/api/server_model_api.php?sid=5-98,100,522,386,1780,242.66,0.000%,1.63436,0.87,0.82,544.0
SSD/drive-capacity.php-99,100,507,355,2362,304.39,0.000%,1.62169,17.96,0.69,11343.0
