Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,150,4357,1405,8985,2199.72,0.000%,2.36638,2.27,0.86,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,150,2617,711,12243,1908.81,0.000%,2.37199,107.58,1.01,46444.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,150,1413,369,7354,1217.75,0.000%,2.37207,103.31,1.00,44600.0
SSD/images/landingPage.jpg-73,150,2688,718,12818,2136.70,0.000%,2.20900,253.85,0.78,117676.0
SSD/workload.php-82,150,1040,358,4253,699.43,0.000%,2.10261,23.71,0.85,11546.0
SSD/js/workload.js-83,150,1016,348,5626,684.60,0.000%,2.10152,6.30,0.67,3070.9
SSD/css/fonts/hpe-icons.woff-85,150,1301,358,4490,870.74,0.000%,2.08516,69.74,0.80,34247.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,150,1403,365,6665,1028.99,0.000%,2.07544,83.97,0.82,41428.0
SSD/api/workload_api.php-86,150,1451,396,5024,1173.57,0.000%,1.98035,2.00,0.97,1036.0
SSD/ssd-type.php-87,150,1196,359,6662,960.94,0.000%,1.92057,23.26,0.80,12401.0
SSD/js/ssd-type.js-88,150,960,348,2993,610.91,0.000%,1.92061,3.04,0.62,1620.2
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,150,1055,351,6727,941.00,0.000%,1.89251,31.72,0.76,17164.0
SSD/server-type.php-90,150,1457,369,8889,1240.24,0.000%,1.84743,22.18,0.78,12295.0
SSD/js/server-type.js-91,150,1017,349,2768,660.55,0.000%,1.85082,5.35,0.60,2961.1
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,150,1430,372,7862,1271.99,0.000%,1.80950,79.83,0.72,45176.0
SSD/api/server_model_api.php?sid=null-96,150,1770,402,6347,1460.38,0.000%,1.76373,0.89,0.89,519.0
SSD/api/server_type_api.php-97,150,1783,391,7072,1435.02,0.000%,1.72160,1.09,0.85,646.0
SSD/api/server_model_api.php?sid=5-98,150,1645,400,6941,1321.41,0.000%,1.70509,0.91,0.85,544.0
SSD/drive-capacity.php-99,150,1314,364,8109,1166.31,0.000%,1.70369,18.87,0.73,11343.0
SSD/js/drive-capacity.js-101,150,921,350,3182,681.21,0.000%,1.70435,2.96,0.57,1781.0
SSD/css/noUiSlider/distribute/nouislider.min.js-100,150,928,354,3372,605.38,0.000%,1.70336,15.14,0.60,9104.4
SSD/css/noUiSlider/distribute/nouislider.min.css-102,150,790,353,2599,470.77,0.000%,1.68678,2.73,0.62,1654.9
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,150,1989,391,7013,1765.06,0.000%,1.68505,0.83,0.94,503.0
SSD/interface-type.php-104,150,1462,361,7245,1304.05,0.000%,1.68071,19.63,0.72,11960.0
SSD/js/interface-type.js-105,150,844,345,2602,495.20,0.000%,1.67029,4.32,0.55,2650.4
SSD/api/interface_type_api.php-109,150,1982,386,5875,1506.14,0.000%,1.66554,1.14,0.83,702.0
SSD/api/interface_api.php-110,150,1253,381,5273,1003.40,0.000%,1.65933,0.88,0.90,541.0
SSD/form-factor.php-111,150,1076,363,5376,891.57,0.000%,1.65837,17.69,0.71,10924.0
SSD/js/form-factor.js-112,150,870,357,2821,578.74,0.000%,1.65669,4.06,0.54,2512.1
SSD/api/form_factor_api.php-113,150,1366,399,6895,1255.97,0.000%,1.62473,1.28,0.80,809.0
SSD/api/form_factor_type_api.php-117,150,1719,398,7366,1566.72,0.000%,1.61480,0.86,0.92,546.0
SSD/images/LFF%20SATA.jpg-115,150,1172,359,9147,1289.50,0.000%,1.57512,38.02,0.54,24714.0
SSD/images/SFF%20SATA.jpg-116,150,1062,358,6666,1032.58,0.000%,1.55846,32.97,0.53,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,150,1098,363,4974,897.70,0.000%,1.53641,44.50,0.56,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,150,1072,365,5747,935.62,0.000%,1.52334,44.60,0.54,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,150,1132,367,5542,1003.07,0.000%,1.50403,44.11,0.56,30035.0
SSD/mainstream.php-120,150,1604,366,7450,1336.10,0.000%,1.48810,16.76,0.63,11535.0
SSD/js/mainstream.js-121,150,832,356,3029,531.73,0.000%,1.48790,1.98,0.48,1361.0
