Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,200,1715,1400,4587,377.94,0.000%,3.25897,3.12,1.19,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,200,880,698,3401,398.02,0.000%,3.31576,150.39,1.41,46444.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,200,547,356,3334,447.20,0.000%,3.26995,142.42,1.38,44600.0
SSD/images/landingPage.jpg-73,200,1154,709,6312,825.84,0.000%,3.13588,360.37,1.11,117676.0
SSD/workload.php-82,200,1384,355,6357,1382.96,0.000%,3.12407,35.23,1.27,11546.0
SSD/js/workload.js-83,200,424,344,1043,120.28,0.000%,3.12178,9.36,1.00,3069.9
SSD/css/fonts/hpe-icons.woff-85,200,517,359,2256,264.02,0.000%,3.10126,103.72,1.20,34247.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,200,575,355,2677,307.32,0.000%,3.08299,124.73,1.22,41428.0
SSD/api/workload_api.php-86,200,2558,385,11914,2453.04,0.000%,2.91469,2.95,1.42,1036.0
SSD/ssd-type.php-87,200,762,349,4640,853.04,0.000%,2.87588,34.83,1.20,12401.0
SSD/js/ssd-type.js-88,200,445,335,1800,198.85,0.000%,2.87637,4.55,0.92,1619.6
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,200,487,352,1907,233.90,0.000%,2.86139,47.96,1.15,17164.0
SSD/server-type.php-90,200,1132,355,6067,1107.42,0.000%,2.85833,34.32,1.20,12295.0
SSD/js/server-type.js-91,200,462,337,2693,257.16,0.000%,2.85780,8.26,0.93,2959.9
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,200,645,354,2588,377.83,0.000%,2.82422,124.60,1.12,45176.0
SSD/api/server_model_api.php?sid=null-96,200,2459,382,11838,2256.25,0.000%,2.56861,1.30,1.29,519.0
SSD/api/server_type_api.php-97,200,2248,382,9463,2007.93,0.000%,2.48663,1.57,1.23,646.0
SSD/api/server_model_api.php?sid=5-98,200,2070,384,9472,2073.78,0.000%,2.48090,1.32,1.24,544.0
SSD/drive-capacity.php-99,200,951,353,4673,898.83,0.000%,2.47562,27.42,1.05,11343.0
SSD/js/drive-capacity.js-101,200,448,345,1230,120.54,0.000%,2.47280,4.30,0.82,1780.5
SSD/css/noUiSlider/distribute/nouislider.min.js-100,200,465,348,2290,197.48,0.000%,2.47320,21.98,0.88,9101.3
SSD/css/noUiSlider/distribute/nouislider.min.css-102,200,422,343,1659,137.86,0.000%,2.47482,4.00,0.92,1654.4
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,200,3082,394,11908,2416.95,0.000%,2.47271,1.21,1.37,503.0
SSD/interface-type.php-104,200,877,357,4644,971.07,0.000%,2.46975,28.85,1.06,11960.0
SSD/js/interface-type.js-105,200,441,342,2916,214.68,0.000%,2.46557,6.38,0.82,2649.5
SSD/api/interface_type_api.php-109,200,2372,391,8253,2209.50,0.000%,2.45260,1.68,1.22,702.0
SSD/api/interface_api.php-110,200,2108,387,9474,2087.57,0.000%,2.44568,1.29,1.33,541.0
SSD/form-factor.php-111,200,954,361,5275,931.76,0.000%,2.39131,25.51,1.02,10924.0
SSD/js/form-factor.js-112,200,440,350,1490,127.86,0.000%,2.39077,5.86,0.78,2511.3
SSD/api/form_factor_api.php-113,200,1987,388,7928,1969.84,0.000%,2.39149,1.89,1.18,809.0
SSD/api/form_factor_type_api.php-117,200,2583,391,9481,2596.90,0.000%,2.39071,1.27,1.37,546.0
SSD/images/LFF%20SATA.jpg-115,200,719,355,4048,554.33,0.000%,2.35963,56.95,0.80,24714.0
SSD/images/SFF%20SATA.jpg-116,200,562,358,2658,342.20,0.000%,2.34247,49.55,0.80,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,200,616,356,2940,368.83,0.000%,2.32815,67.43,0.85,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,200,645,360,3335,456.43,0.000%,2.31871,67.88,0.82,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,200,655,358,2636,425.58,0.000%,2.30601,67.64,0.86,30035.0
SSD/mainstream.php-120,200,1153,365,4985,1055.52,0.000%,2.30420,25.96,0.97,11535.0
SSD/js/mainstream.js-121,200,528,348,2159,271.62,0.000%,2.30601,3.06,0.75,1361.0
SSD/recommendation.php-122,200,1790,402,11806,1839.34,0.000%,2.30396,39.48,0.98,17548.0
SSD/css/jquery-ui.css-126,200,520,352,2631,332.92,0.000%,2.30335,20.97,0.79,9321.6
SSD/css/customSlider.css-128,200,453,347,1619,149.19,0.000%,2.30439,3.11,0.80,1384.0
SSD/css/bootstrapslider.css-127,200,460,342,2723,268.24,0.000%,2.30301,6.17,0.81,2741.4
SSD/css/bootstrap/bootstrap.min.css-125,200,534,348,2261,330.05,0.000%,2.30264,47.28,0.82,21024.4
SSD/js/recommendation.js-129,200,509,349,2293,324.60,0.000%,2.30425,16.39,0.77,7282.4
SSD/js/customSlider.js-133,200,484,350,2140,234.29,0.000%,2.30394,4.92,0.76,2184.7
SSD/images/HPE%20SSD%20Portfolio%20Alignment.jpg-124,200,3147,419,13698,2198.52,0.000%,2.20955,574.26,0.81,266138.0
SSD/js/validation.js-135,200,609,341,2891,478.26,0.000%,2.20359,2.70,0.72,1256.4
SSD/js/bootstrap/bootstrap.min.js-134,200,515,347,2188,352.66,0.000%,2.17694,28.87,0.74,13579.6
SSD/js/jquery-ui.min.js-132,200,954,369,3789,618.99,0.000%,2.16979,153.21,0.72,72304.2
SSD/js/serverCompatibility.js-136,200,449,342,1961,240.55,0.000%,2.18210,2.29,0.74,1075.0
SSD/api/result_api.php-137,200,1927,389,8129,2037.79,0.000%,2.17725,4.02,1.66,1893.0
SSD/api/server_model_api.php?sid=5-138,200,1271,383,9444,1401.44,0.000%,2.26919,1.21,1.14,544.0
SSD/images/-139,200,529,344,4525,414.58,100.000%,2.26819,0.79,0.75,356.0
TOTAL,10600,1068,335,13698,1394.69,1.887%,91.81066,1720.35,36.89,19187.7
