Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/js/jquery3.5.min.js-191,20,8734,2030,30252,8084.23,0.000%,.61538,20.45,0.26,34022.8
/css/lib-3b502e9f21.css-192,20,8136,437,26251,6816.84,0.000%,.57763,28.06,0.25,49748.2
/css/app-1a3af07598.css-193,20,1238,406,5346,1514.04,0.000%,.61248,2.57,0.27,4293.0
/js/jquery.min.js-194,20,20952,831,311057,66847.60,5.000%,.06201,1.97,0.02,32517.9
/js/config.js-197,20,769,394,5900,1189.67,0.000%,.06125,0.04,0.03,654.0
/images/hpe-logo-white.png-198,20,837,394,2298,678.55,0.000%,.06123,0.11,0.03,1872.0
/css/content.css-190,20,23766,4204,129334,25647.68,0.000%,.06052,10.64,0.03,180021.6
/images/hpe-flag.png-202,20,1061,401,4021,1086.83,0.000%,.06392,0.06,0.03,985.0
/css/hpe_fonts/MetricWeb-Light.woff-203,20,5068,609,11650,3060.84,0.000%,.06388,2.78,0.03,44604.0
/css/hpe_fonts/MetricWeb-Semibold.woff-204,20,5359,614,10221,2861.71,0.000%,.06489,2.94,0.03,46448.0
/images/landingPage.jpg-201,20,13500,926,35969,10593.44,0.000%,.06511,7.48,0.03,117680.0
/workload-205,20,2739,329,19522,4269.44,0.000%,.06593,0.77,0.04,11965.0
/css/lib-3b502e9f21.css-207,20,5382,774,35035,6967.68,0.000%,.06595,3.14,0.03,48753.0
/css/app-1a3af07598.css-208,20,1394,331,7848,1873.14,0.000%,.06660,0.27,0.03,4221.0
/js/workload.js-209,20,740,373,2628,652.24,0.000%,.06662,0.20,0.03,3100.4
/css/content.css-206,20,17806,1587,35369,8670.56,0.000%,.06636,11.38,0.03,175653.0
/images/hpe-logo-white.png-213,20,1187,399,4174,1174.53,0.000%,.06918,0.13,0.03,1872.0
/js/jquery.min.js-212,20,9765,944,113029,24052.23,0.000%,.06906,2.26,0.03,33494.0
/js/config.js-214,20,952,394,4153,1034.78,0.000%,.06924,0.04,0.03,654.0
/images/hpe-flag.png-219,20,939,394,6435,1298.80,0.000%,.06934,0.07,0.03,985.0
/api/workload_api.php-218,20,608,440,2179,405.28,0.000%,.06943,0.07,0.04,1040.0
/css/fonts/hpe-icons.woff-215,20,3401,747,7719,2136.41,0.000%,.06937,2.32,0.03,34251.0
/css/hpe_fonts/MetricWeb-Light.woff-216,20,4450,609,12523,2873.73,0.000%,.06963,3.03,0.03,44604.0
/css/hpe_fonts/MetricWeb-Medium.woff-217,20,15315,489,194928,42354.04,5.000%,.07037,2.72,0.03,39508.3
/ssd-type-220,20,1811,409,11830,2671.48,0.000%,.07129,0.89,0.04,12824.0
/js/ssd-type.js-222,20,465,370,1263,192.76,0.000%,.07131,0.12,0.03,1657.5
