Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/js/jquery3.5.min.js-191,70,5845,1794,30252,5649.63,0.000%,.01857,0.61,0.01,33798.7
/css/lib-3b502e9f21.css-192,70,4464,373,26251,5380.42,0.000%,.01859,0.90,0.01,49321.7
/css/app-1a3af07598.css-193,70,972,349,8620,1478.69,0.000%,.01860,0.08,0.01,4262.1
/js/jquery.min.js-194,70,7216,364,311057,36799.77,1.429%,.01860,0.61,0.01,33364.6
/js/config.js-197,70,583,346,5900,687.05,0.000%,.01860,0.01,0.01,654.0
/images/hpe-logo-white.png-198,70,737,338,5921,844.40,0.000%,.01860,0.03,0.01,1872.0
/css/content.css-190,70,13726,827,129334,17912.06,0.000%,.01859,3.23,0.01,178149.4
/images/hpe-flag.png-202,70,814,343,8820,1205.72,0.000%,.01868,0.02,0.01,985.0
/css/hpe_fonts/MetricWeb-Light.woff-203,70,3120,408,12154,3090.97,0.000%,.01867,0.81,0.01,44604.0
/css/hpe_fonts/MetricWeb-Semibold.woff-204,70,3414,397,13371,3082.69,0.000%,.01869,0.85,0.01,46448.0
/images/landingPage.jpg-201,70,8511,413,35969,9063.15,0.000%,.01869,2.15,0.01,117680.0
/workload-205,70,2188,329,20990,3705.21,0.000%,.01871,0.22,0.01,11965.0
/css/lib-3b502e9f21.css-207,70,3827,365,35035,4782.61,0.000%,.01871,0.89,0.01,48753.0
/css/app-1a3af07598.css-208,70,1046,331,7848,1403.78,0.000%,.01872,0.08,0.01,4221.0
/js/workload.js-209,70,711,352,5220,793.14,0.000%,.01872,0.06,0.01,3096.2
/css/content.css-206,70,12576,412,37135,11251.99,0.000%,.01871,3.21,0.01,175653.0
/images/hpe-logo-white.png-213,70,1344,348,13319,1932.52,0.000%,.01877,0.03,0.01,1872.0
/js/jquery.min.js-212,70,4734,365,113029,13725.86,0.000%,.01877,0.61,0.01,33494.0
/js/config.js-214,70,779,344,8316,1118.26,0.000%,.01878,0.01,0.01,654.0
/images/hpe-flag.png-219,70,5268,354,323613,38331.32,1.429%,.01878,0.02,0.01,1013.6
/api/workload_api.php-218,70,664,387,3876,553.12,0.000%,.01878,0.02,0.01,1040.0
/css/fonts/hpe-icons.woff-215,70,2535,368,11615,2637.06,0.000%,.01878,0.63,0.01,34251.0
/css/hpe_fonts/MetricWeb-Light.woff-216,70,3181,366,12523,2929.55,0.000%,.01878,0.82,0.01,44604.0
/css/hpe_fonts/MetricWeb-Medium.woff-217,70,6155,369,194928,23481.16,1.429%,.01880,0.75,0.01,40882.4
/ssd-type-220,70,1479,350,11830,1920.50,0.000%,.01882,0.24,0.01,12824.0
/js/ssd-type.js-222,70,556,340,2120,459.78,0.000%,.01882,0.03,0.01,1652.9
