Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,20,1445,1367,1735,76.75,0.000%,3.83509,3.67,1.40,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,20,738,667,925,68.62,0.000%,4.50248,204.20,1.91,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,20,390,348,510,48.33,0.000%,4.85555,211.47,2.04,44598.0
SSD/images/landingPage.jpg-73,20,817,684,1344,165.01,0.000%,4.30293,494.48,1.52,117676.0
SSD/workload.php-82,20,380,339,474,36.44,0.000%,4.64576,52.38,1.88,11546.0
SSD/js/workload.js-83,20,373,322,481,45.25,0.000%,4.62856,13.61,1.48,3010.0
SSD/css/fonts/hpe-icons.woff-85,20,426,342,796,114.99,0.000%,4.62107,154.54,1.78,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,20,489,348,875,170.08,0.000%,4.59770,186.00,1.82,41426.0
SSD/api/workload_api.php-86,20,431,367,531,53.52,0.000%,4.54133,4.59,2.21,1036.0
SSD/ssd-type.php-87,20,374,344,420,22.83,0.000%,4.56725,55.31,1.90,12401.0
SSD/js/ssd-type.js-88,20,367,330,477,42.08,0.000%,4.56934,7.09,1.46,1589.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,20,359,335,383,10.73,0.000%,4.70035,78.78,1.88,17162.0
SSD/server-type.php-90,20,365,345,437,20.27,0.000%,4.70921,56.54,1.98,12295.0
SSD/js/server-type.js-91,20,350,334,366,9.96,0.000%,4.79501,13.49,1.56,2881.0
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,20,448,346,708,141.36,0.000%,4.42968,195.42,1.76,45174.0
SSD/api/server_model_api.php?sid=null-96,20,395,373,419,11.02,0.000%,4.39560,2.23,2.21,519.0
SSD/api/server_type_api.php-97,20,394,370,541,34.90,0.000%,4.40723,2.85,2.17,662.0
SSD/api/server_model_api.php?sid=5-98,20,389,373,443,16.57,0.000%,4.41209,2.34,2.21,544.0
SSD/drive-capacity.php-99,20,354,333,394,13.66,0.000%,4.41112,48.86,1.88,11343.0
SSD/js/drive-capacity.js-101,20,346,328,387,12.35,0.000%,4.39850,7.43,1.46,1729.0
SSD/css/noUiSlider/distribute/nouislider.min.js-100,20,353,335,388,14.47,0.000%,4.37158,38.81,1.55,9092.0
SSD/css/noUiSlider/distribute/nouislider.min.css-102,20,345,325,383,14.28,0.000%,4.34594,7.02,1.61,1653.0
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,20,392,376,430,13.87,0.000%,4.26439,2.09,2.37,503.0
SSD/interface-type.php-104,20,361,340,401,14.12,0.000%,4.28082,50.00,1.84,11960.0
SSD/js/interface-type.js-105,20,349,335,365,8.92,0.000%,4.30108,10.93,1.43,2602.0
SSD/api/interface_type_api.php-109,20,390,373,455,20.80,0.000%,4.20521,2.88,2.10,702.0
SSD/api/interface_api.php-110,20,393,371,416,10.78,0.000%,4.17973,2.21,2.28,541.0
SSD/form-factor.php-111,20,360,341,383,12.06,0.000%,4.18498,44.65,1.78,10924.0
SSD/js/form-factor.js-112,20,351,338,372,10.45,0.000%,4.19111,9.97,1.37,2436.0
SSD/api/form_factor_api.php-113,20,397,372,438,15.86,0.000%,4.14164,3.27,2.04,809.0
SSD/api/form_factor_type_api.php-117,20,399,376,485,23.34,0.000%,4.05680,2.16,2.32,544.0
SSD/images/LFF%20SATA.jpg-115,20,365,343,432,20.85,0.000%,4.09836,98.91,1.40,24714.0
SSD/images/SFF%20SATA.jpg-116,20,375,338,470,36.34,0.000%,4.09668,86.65,1.40,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,20,377,344,424,22.42,0.000%,4.04204,117.06,1.47,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,20,379,347,478,31.51,0.000%,3.93623,115.24,1.39,29979.0
SSD/images/PCIe%20NVMe%20Workload%20Accelerator%20HHHL.jpg-119,20,381,341,489,34.09,0.000%,3.91313,114.78,1.46,30035.0
SSD/mainstream.php-120,20,381,347,481,41.50,0.000%,3.86997,43.59,1.63,11535.0
SSD/js/mainstream.js-121,20,358,327,453,31.05,0.000%,3.84689,4.64,1.25,1234.0
SSD/recommendation.php-122,20,486,383,851,132.16,0.000%,3.82409,63.20,1.62,16923.0
SSD/css/jquery-ui.css-126,20,370,328,454,32.47,0.000%,3.86250,35.11,1.33,9308.0
SSD/css/customSlider.css-128,20,361,328,502,41.12,0.000%,3.86250,5.22,1.34,1384.0
SSD/css/bootstrapslider.css-127,20,362,336,432,26.36,0.000%,3.86548,10.34,1.35,2738.0
SSD/css/bootstrap/bootstrap.min.css-125,20,387,340,476,37.96,0.000%,3.85654,78.96,1.38,20966.0
SSD/js/recommendation.js-129,20,381,335,468,39.77,0.000%,3.86698,23.92,1.28,6334.0
SSD/js/customSlider.js-133,20,385,340,537,50.30,0.000%,3.72717,8.96,1.23,2461.0
SSD/images/HPE%20SSD%20Portfolio%20Alignment.jpg-124,20,1395,692,3368,748.58,0.000%,2.82287,733.66,1.03,266138.0
SSD/js/validation.js-135,20,359,324,507,39.33,0.000%,3.04414,3.73,1.00,1255.0
SSD/js/bootstrap/bootstrap.min.js-134,20,362,336,419,20.67,0.000%,3.03168,40.13,1.03,13554.0
SSD/js/jquery-ui.min.js-132,20,500,361,739,154.85,0.000%,2.87315,202.49,0.95,72169.0
SSD/js/serverCompatibility.js-136,20,355,330,415,20.12,0.000%,2.90951,3.05,0.98,1075.0
SSD/api/result_api.php-137,20,411,371,538,41.88,0.000%,2.92612,5.07,2.23,1774.0
SSD/api/server_model_api.php?sid=5-138,20,402,368,562,42.16,0.000%,2.95770,1.57,1.49,544.0
SSD/images/-139,20,346,327,371,11.50,100.000%,2.96736,1.03,0.98,356.0
TOTAL,1060,438,322,3368,242.15,1.887%,37.15518,694.75,14.93,19147.5
