Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/js/jquery3.5.min.js-191,45,3315,1720,5004,976.09,0.000%,4.61633,152.07,1.96,33732.3
/css/lib-3b502e9f21.css-192,45,1034,400,3699,564.35,0.000%,4.52352,217.32,2.00,49195.3
/css/app-1a3af07598.css-193,45,780,354,1747,343.52,0.000%,4.29553,17.84,1.90,4253.0
/js/jquery.min.js-194,45,1199,379,3566,720.86,0.000%,3.46794,114.22,1.46,33726.6
/js/config.js-197,45,819,448,1864,296.85,0.000%,3.50877,2.24,1.47,654.0
/images/hpe-logo-white.png-198,45,913,381,1869,384.38,0.000%,3.39520,6.21,1.61,1872.0
/css/content.css-190,45,4700,1874,13607,2854.93,0.000%,2.23203,387.11,0.97,177595.5
/images/hpe-flag.png-202,45,948,395,1815,384.29,0.000%,2.56075,2.46,1.24,985.0
/css/hpe_fonts/MetricWeb-Light.woff-203,45,1987,699,7903,1638.12,0.000%,2.33900,101.88,1.16,44604.0
/css/hpe_fonts/MetricWeb-Semibold.woff-204,45,1810,758,6437,1229.94,0.000%,2.09957,95.24,1.05,46448.0
/images/landingPage.jpg-201,45,2605,716,6074,1637.66,0.000%,1.88403,216.52,0.89,117680.0
/workload-205,45,853,418,1916,343.72,0.000%,1.92719,22.52,1.15,11965.0
/css/lib-3b502e9f21.css-207,45,1325,491,5455,835.73,0.000%,1.84540,87.86,0.83,48753.0
/css/app-1a3af07598.css-208,45,774,358,1657,343.85,0.000%,1.87165,7.72,0.84,4221.0
/js/workload.js-209,45,694,352,1387,253.45,0.000%,1.96061,5.90,0.84,3084.1
/css/content.css-206,45,3313,471,7150,1845.13,0.000%,1.68685,289.36,0.75,175653.0
/images/hpe-logo-white.png-213,45,670,350,2503,363.02,0.000%,1.71514,3.14,0.83,1872.0
/js/jquery.min.js-212,45,1197,378,4856,1004.70,0.000%,1.75097,57.27,0.75,33494.0
/js/config.js-214,45,647,346,1707,263.00,0.000%,1.77186,1.13,0.75,654.0
/images/hpe-flag.png-219,45,600,371,1399,237.34,0.000%,1.82415,1.75,0.88,985.0
/api/workload_api.php-218,45,679,391,2045,270.11,0.000%,1.82600,1.85,1.08,1040.0
/css/fonts/hpe-icons.woff-215,45,899,402,2503,490.23,0.000%,1.77221,59.28,0.86,34251.0
/css/hpe_fonts/MetricWeb-Light.woff-216,45,1062,398,3399,665.22,0.000%,1.67823,73.10,0.83,44604.0
/css/hpe_fonts/MetricWeb-Medium.woff-217,45,941,388,3000,503.30,0.000%,1.63316,66.08,0.81,41432.0
/ssd-type-220,45,585,355,1245,159.26,0.000%,1.63517,20.48,0.99,12824.0
/js/ssd-type.js-222,45,632,370,2069,293.94,0.000%,1.62878,2.60,0.70,1632.2
/css/hpe_fonts/HPESimpleWeb-Regular.woff-221,45,666,417,2017,286.87,0.000%,1.64956,27.66,0.82,17168.0
/server-type-223,45,645,383,1398,250.11,0.000%,1.63191,20.26,0.99,12711.0
/css/lib-3b502e9f21.css-225,45,1040,445,3844,603.36,0.000%,1.58546,75.48,0.72,48753.0
/js/server-type.js-226,45,721,345,3903,718.82,0.000%,1.59631,4.74,0.69,3042.8
