Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,50,1683,1365,2252,229.63,0.000%,7.22648,6.92,2.63,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,50,1010,695,2351,412.51,0.000%,7.52899,341.47,3.19,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,50,603,360,2263,345.17,0.000%,7.23589,315.14,3.05,44598.0
SSD/images/landingPage.jpg-73,50,1191,713,2910,528.28,0.000%,5.58659,642.00,1.97,117676.0
SSD/workload.php-82,50,501,346,1212,196.95,0.000%,5.84385,65.89,2.37,11546.0
SSD/js/workload.js-83,50,560,337,1443,314.04,0.000%,5.87889,17.35,1.88,3021.3
SSD/css/fonts/hpe-icons.woff-85,50,538,359,1393,211.47,0.000%,5.62177,188.01,2.17,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,50,568,363,1523,246.12,0.000%,5.44900,220.44,2.16,41426.0
SSD/api/workload_api.php-86,50,591,376,1433,273.26,0.000%,5.30898,5.37,2.59,1036.0
SSD/ssd-type.php-87,50,565,342,2255,353.85,0.000%,5.50782,66.70,2.30,12401.0
SSD/js/ssd-type.js-88,50,547,332,1364,314.45,0.000%,5.57787,8.69,1.79,1595.0
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,50,528,347,1830,325.42,0.000%,6.28141,105.27,2.52,17162.0
SSD/server-type.php-90,50,384,342,556,44.04,0.000%,6.43998,77.32,2.70,12295.0
SSD/js/server-type.js-91,50,365,333,526,35.86,0.000%,6.62427,18.44,2.16,2850.5
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,50,518,347,1100,232.51,0.000%,6.36943,280.99,2.53,45174.0
SSD/api/server_model_api.php?sid=null-96,50,450,365,803,97.80,0.000%,6.36051,3.22,3.20,519.0
SSD/api/server_type_api.php-97,50,417,370,787,78.31,0.000%,6.37918,4.12,3.15,662.0
SSD/api/server_model_api.php?sid=5-98,50,431,370,832,97.71,0.000%,6.44912,3.43,3.22,544.0
SSD/drive-capacity.php-99,50,405,334,770,96.51,0.000%,6.47333,71.71,2.76,11343.0
SSD/js/drive-capacity.js-101,50,357,323,415,19.34,0.000%,6.44081,10.91,2.14,1734.6
SSD/css/noUiSlider/distribute/nouislider.min.js-100,50,364,332,474,26.03,0.000%,6.36618,56.76,2.26,9129.3
SSD/css/noUiSlider/distribute/nouislider.min.css-102,50,356,321,418,18.47,0.000%,6.38978,10.35,2.36,1658.7
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,50,481,364,819,150.22,0.000%,6.35647,3.12,3.53,503.0
SSD/interface-type.php-104,50,402,338,768,112.69,0.000%,6.39223,74.66,2.74,11960.0
SSD/js/interface-type.js-105,50,353,327,438,19.21,0.000%,6.39059,16.30,2.12,2611.7
SSD/api/interface_type_api.php-109,50,552,366,4857,690.17,0.000%,4.05449,2.78,2.02,702.0
SSD/api/interface_api.php-110,50,537,372,3379,555.52,0.000%,3.33578,1.76,1.82,541.0
