Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
SSD/images/hpe-flag.png-75,20,1541,1369,1800,126.52,0.000%,2.75141,2.64,1.00,981.0
SSD/css/hpe_fonts/MetricWeb-Semibold.woff-74,20,786,680,952,89.66,0.000%,3.11478,141.27,1.32,46442.0
SSD/css/hpe_fonts/MetricWeb-Light.woff-78,20,409,357,605,62.26,0.000%,3.28030,142.87,1.38,44598.0
SSD/images/landingPage.jpg-73,20,878,692,1359,190.67,0.000%,2.85551,328.15,1.01,117676.0
SSD/workload.php-82,20,432,350,677,89.82,0.000%,2.99760,33.80,1.21,11546.0
SSD/js/workload.js-83,20,418,331,684,98.05,0.000%,2.98775,8.86,0.96,3038.3
SSD/css/fonts/hpe-icons.woff-85,20,441,360,736,101.78,0.000%,3.00255,100.41,1.16,34245.0
SSD/css/hpe_fonts/MetricWeb-Medium.woff-84,20,449,347,764,119.01,0.000%,3.01296,121.89,1.19,41426.0
SSD/api/workload_api.php-86,20,460,369,824,112.90,0.000%,2.99043,3.03,1.46,1036.0
SSD/ssd-type.php-87,20,441,338,668,109.73,0.000%,3.02480,36.63,1.26,12401.0
SSD/js/ssd-type.js-88,20,408,325,761,122.71,0.000%,3.15756,4.95,1.01,1603.9
SSD/css/hpe_fonts/HPESimpleWeb-Regular.woff-89,20,409,357,638,66.90,0.000%,3.12989,52.46,1.25,17162.0
SSD/server-type.php-90,20,423,344,654,94.80,0.000%,3.16056,37.95,1.33,12295.0
SSD/js/server-type.js-91,20,402,340,681,93.29,0.000%,3.15956,9.00,1.03,2918.0
SSD/css/hpe_fonts/MetricWeb-Regular.woff-92,20,405,354,639,60.73,0.000%,3.18269,140.40,1.26,45174.0
SSD/api/server_model_api.php?sid=null-96,20,449,364,699,92.58,0.000%,3.20410,1.62,1.61,519.0
SSD/api/server_type_api.php-97,20,438,367,797,100.59,0.000%,3.20461,2.07,1.58,662.0
SSD/api/server_model_api.php?sid=5-98,20,432,369,797,91.54,0.000%,3.29327,1.75,1.65,544.0
SSD/drive-capacity.php-99,20,386,336,508,43.34,0.000%,3.53544,39.16,1.51,11343.0
SSD/js/drive-capacity.js-101,20,355,328,411,21.79,0.000%,3.55240,6.05,1.18,1743.0
SSD/css/noUiSlider/distribute/nouislider.min.js-100,20,364,331,431,26.15,0.000%,3.54359,31.79,1.26,9185.3
SSD/css/noUiSlider/distribute/nouislider.min.css-102,20,354,333,386,12.76,0.000%,3.53607,5.76,1.31,1667.2
SSD/api/drive_capacity_api.php?server_id=1&model_name=BL460c%20Gen10&loadtype=[%22WI%22]-103,20,411,365,527,41.23,0.000%,3.50508,1.72,1.95,503.0
SSD/interface-type.php-104,20,374,347,507,41.44,0.000%,3.53920,41.34,1.52,11960.0
SSD/js/interface-type.js-105,20,368,335,443,29.91,0.000%,3.56443,9.14,1.18,2626.2
SSD/api/interface_type_api.php-109,20,411,371,484,29.86,0.000%,3.52983,2.42,1.76,702.0
SSD/api/interface_api.php-110,20,412,379,528,36.80,0.000%,3.57782,1.89,1.95,541.0
SSD/form-factor.php-111,20,377,352,499,36.25,0.000%,3.59971,38.40,1.53,10924.0
SSD/js/form-factor.js-112,20,363,330,474,39.35,0.000%,3.65163,8.76,1.19,2457.8
SSD/api/form_factor_api.php-113,20,405,367,490,32.46,0.000%,3.60946,2.85,1.78,809.0
SSD/api/form_factor_type_api.php-117,20,814,362,4461,1214.13,0.000%,2.07900,1.10,1.19,544.0
SSD/images/LFF%20SATA.jpg-115,20,377,344,449,30.18,0.000%,2.08377,50.29,0.71,24714.0
SSD/images/SFF%20SATA.jpg-116,20,374,338,450,32.00,0.000%,2.08073,44.01,0.71,21660.0
SSD/images/M.2-Enablement-Kit-for-MLDL-single.jpg-114,20,391,357,546,42.34,0.000%,2.06037,59.67,0.75,29656.0
SSD/images/SSD%20SATA%20M.2%202280.JPG-118,20,412,352,701,79.37,0.000%,2.04353,59.83,0.72,29979.0
